figure,dataset,x_axis,curve,lambda,M_lambda,y_max,source
8,FC,lambda,T=30,4,0.09,4,measured
8,FC,lambda,T=30,5,0.0,4,inferred
8,FC,lambda,T=50,1,2.58,4,measured
8,FC,lambda,T=50,2,1.437,4,measured
8,FC,lambda,T=50,3,0.718,4,measured
8,FC,lambda,T=50,4,0.082,4,measured
8,FC,lambda,T=50,5,0.082,4,measured
8,FC,lambda,T=70,1,2.759,4,measured
8,FC,lambda,T=70,2,1.959,4,measured
8,FC,lambda,T=70,3,1.012,4,measured
8,FC,lambda,T=70,4,0.0,4,inferred
8,FC,lambda,T=70,5,0.09,4,measured
8,FC,lambda,T=90,1,3.151,4,measured
8,FC,lambda,T=90,2,2.294,4,measured
8,FC,lambda,T=90,3,1.045,4,measured
8,FC,lambda,T=90,4,0.049,4,measured
8,FC,lambda,T=90,5,0.049,4,measured
9,SG+Wheel,lambda,p=0,1,0.107,7.5,measured
9,SG+Wheel,lambda,p=0,2,0.107,7.5,measured
9,SG+Wheel,lambda,p=0,3,0.107,7.5,measured
9,SG+Wheel,lambda,p=0,4,0.107,7.5,measured
9,SG+Wheel,lambda,p=0,5,0.107,7.5,measured
9,SG+Wheel,lambda,p=0,6,0.107,7.5,measured
9,SG+Wheel,lambda,p=0,7,0.184,7.5,measured
